Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,Num_fava,hyphal_colonization,arb_vesc_colonization,Pot_NPP_g,Pot_NPP_g_pp,W_NPP,W_NPP_pp,W_BNPP_g,W_BNPP_g_pp,W_ANPP_g,W_ANPP_g_pp,W_Berries_g,W_Berries_g_pp,W_pcent_BNPP,W_pcent_ANPP,W_pcent_vegetative,W_pcent_berries,Pot_pcent_wheat,Fava_g,Pot_pcent_fava
45_Strl_inter_s_5_BNPP,45,Strl,Inter,5,Severe,16,6,1.00,0.03,0.03,21.27116,3.0387,16.02058,2.67010,3.1700,0.5283,7.6000,1.2667,5.2506,0.8751,0.1978705,0.4743898,0.6722603,0.3277397,0.7531597,5.2506,0.2468403
46_Strl_mono_c_1_BNPP,46,Strl,Mono,1,Control,48,12,0.00,0.06,0.00,33.96000,2.8300,33.96000,2.83000,8.4500,0.7042,17.7300,1.4775,7.7800,0.6483,0.2488221,0.5220848,0.7709069,0.2290931,1.0000000,0.0000,0.0000000
47_Strl_mono_c_2_BNPP,47,Strl,Mono,2,Control,48,12,0.00,0.03,0.00,25.20734,2.1006,25.20734,2.10061,5.8200,0.4850,17.0400,1.4200,2.3473,0.1956,0.2308851,0.6759936,0.9068787,0.0931213,1.0000000,0.0000,0.0000000
48_Strl_mono_c_3_BNPP,48,Strl,Mono,3,Control,48,12,0.00,0.10,0.10,31.95119,2.6626,31.95119,2.66260,6.2000,0.5167,16.7700,1.3975,8.9812,0.7484,0.1940460,0.5248631,0.7189091,0.2810909,1.0000000,0.0000,0.0000000
49_Strl_mono_c_4_BNPP,49,Strl,Mono,4,Control,48,12,0.00,0.00,0.00,20.76985,1.7308,20.76985,1.73082,2.4000,0.2000,11.2200,0.9350,7.1499,0.5958,0.1155521,0.5402061,0.6557582,0.3442418,1.0000000,0.0000,0.0000000
50_Strl_mono_c_5_BNPP,50,Strl,Mono,5,Control,48,12,0.00,0.01,0.01,26.52623,2.2105,26.52623,2.21052,5.2500,0.4375,12.5600,1.0467,8.7162,0.7264,0.1979173,0.4734936,0.6714109,0.3285891,1.0000000,0.0000,0.0000000
51_Strl_mono_m_1_BNPP,51,Strl,Mono,1,Moderate,32,12,0.00,0.20,0.07,39.08611,3.2572,39.08611,3.25718,6.9200,0.5767,23.0000,1.9167,9.1661,0.7638,0.1770450,0.5884443,0.7654893,0.2345107,1.0000000,0.0000,0.0000000
52_Strl_mono_m_2_BNPP,52,Strl,Mono,2,Moderate,32,12,0.00,0.22,0.18,29.60461,2.4671,29.60461,2.46705,6.0900,0.5075,15.3000,1.2750,8.2146,0.6846,0.2057112,0.5168114,0.7225226,0.2774774,1.0000000,0.0000,0.0000000
53_Strl_mono_m_3_BNPP,53,Strl,Mono,3,Moderate,32,12,0.00,0.01,0.00,45.55691,3.7964,45.55691,3.79641,9.4100,0.7842,23.8000,1.9833,12.3469,1.0289,0.2065548,0.5224235,0.7289783,0.2710217,1.0000000,0.0000,0.0000000
54_Strl_mono_m_4_BNPP,54,Strl,Mono,4,Moderate,32,12,0.00,0.24,0.22,32.07857,2.6732,32.07857,2.67321,5.4000,0.4500,15.9500,1.3292,10.7286,0.8940,0.1683367,0.4972167,0.6655534,0.3344466,1.0000000,0.0000,0.0000000
55_Strl_mono_m_5_BNPP,55,Strl,Mono,5,Moderate,32,12,0.00,0.58,0.30,31.10343,2.5920,31.10343,2.59195,5.8000,0.4833,18.9900,1.5825,6.3134,0.5261,0.1864746,0.6105436,0.7970182,0.2029818,1.0000000,0.0000,0.0000000
56_Strl_mono_s_1_BNPP,56,Strl,Mono,1,Severe,16,12,0.00,0.01,0.00,20.27412,1.6895,20.27412,1.68951,4.1700,0.3475,10.7600,0.8967,5.3441,0.4453,0.2056809,0.5307259,0.7364068,0.2635932,1.0000000,0.0000,0.0000000
57_Strl_mono_s_2_BNPP,57,Strl,Mono,2,Severe,16,12,0.00,0.36,0.28,27.82993,2.3192,27.82993,2.31916,7.2900,0.6075,17.9600,1.4967,2.5799,0.2150,0.2619482,0.6453484,0.9072966,0.0927034,1.0000000,0.0000,0.0000000
58_Strl_mono_s_3_BNPP,58,Strl,Mono,3,Severe,16,12,0.00,0.07,0.07,18.98016,1.5817,18.98016,1.58168,3.9400,0.3283,9.8500,0.8208,5.1902,0.4325,0.2075852,0.5189630,0.7265481,0.2734519,1.0000000,0.0000,0.0000000
59_Strl_mono_s_4_BNPP,59,Strl,Mono,4,Severe,16,12,0.00,0.11,0.01,17.93165,1.4943,17.93165,1.49430,2.7600,0.2300,10.1600,0.8467,5.0117,0.4176,0.1539178,0.5665959,0.7205137,0.2794863,1.0000000,0.0000,0.0000000
60_Strl_mono_s_5_BNPP,60,Strl,Mono,5,Severe,16,12,0.00,0.14,0.06,18.25344,1.5211,18.25344,1.52112,2.5100,0.2092,10.1400,0.8450,5.6034,0.4670,0.1375083,0.5555117,0.6930201,0.3069799,1.0000000,0.0000,0.0000000
